0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
金都雅苑,奉贤,107104225999,253,25657元/平米,2005年建/板楼,2室2厅1厨1卫,高楼层 (共6层),98.61㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,无,2021-07-17,商品房,2009-05-07,普通住宅,满五年,非共有,无抵押,已上传房本照片,"码
202101264255





查询房管备案记录",,,
海浒新村,金山,107104143526,116,15284元/平米,1994年建/板楼,3室2厅1厨1卫,中楼层 (共6层),75.9㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯两户,无,2021-06-26,商品房,2000-05-08,普通住宅,满五年,非共有,无抵押,已上传房本照片,"码
202101084013





查询房管备案记录",,,
聚缘北庭,闵行,107104186142,290,38724元/平米,2013年建/板楼,2室2厅1厨1卫,高楼层 (共11层),74.89㎡,平层,62.2㎡,板楼,南,钢混结构,精装,一梯四户,有,2021-07-07,动迁安置房,2014-04-16,普通住宅,满五年,共有,无抵押,已上传房本照片,"码
202101034270





查询房管备案记录",,,
城中花园,浦东,107104123895,560,59600元/平米,2005年建/板楼,2室2厅1厨1卫,高楼层 (共12层),93.96㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,有,2021-06-21,商品房,2013-07-14,普通住宅,满五年,非共有,有抵押 183万元 招商银行 客户偿还,未上传房本照片,"码
202101016172





查询房管备案记录",,,
禹洲雍贤府,奉贤,107103534592,409,46478元/平米,2018年建/板塔结合,3室2厅1厨2卫,低楼层 (共2层),88㎡,70㎡,南,钢混结构,毛坯,叠拼,2021-01-23,商品房,2019-07-20,别墅,满两年,共有,有抵押 50万元 商业贷款 业主自还,已上传房本照片,"码
202101074084





查询房管备案记录",,,,,,
临园小区,浦东,107104176091,228,42890元/平米,1983年建/板楼,2室1厅1厨1卫,中楼层 (共5层),53.16㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯四户,无,2021-07-04,商品房,2014-08-05,普通住宅,满五年,非共有,无抵押,已上传房本照片,"码
202101031027





查询房管备案记录",,,
新德五村,浦东,107103731498,270,39137元/平米,1994年建/板楼,2室1厅0厨1卫,高楼层 (共6层),68.99㎡,平层,暂无数据,板楼,南,混合结构,精装,一梯四户,无,2021-03-20,商品房,2005-01-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,"码
202100577193





查询房管备案记录",,,
鑫唐佳苑,浦东,107104189027,323,56096元/平米,2004年建/板楼,2室1厅1厨1卫,低楼层 (共6层),57.58㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯四户,无,2021-07-08,商品房,2011-02-13,普通住宅,满五年,共有,无抵押,已上传房本照片,"码
202101036451





查询房管备案记录",,,
兰坪二村,闵行,107104365769,298,34797元/平米,1998年建/板楼,2室2厅1厨1卫,低楼层 (共6层),85.64㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯两户,无,2021-08-24,商品房,2019-12-13,普通住宅,未满两年,共有,无抵押,已上传房本照片,"码
202101277897





查询房管备案记录",,,
妙境路715弄,浦东,107103644247,460,28042元/平米,1995年建/板楼,4室2厅1厨2卫,中楼层 (共6层),164.04㎡,平层,164㎡,板楼,南,砖混结构,精装,一梯两户,无,2021-03-01,商品房,2013-03-01,普通住宅,满五年,共有,无抵押,已上传房本照片,"码
202100623191





查询房管备案记录",,,
新沪小区,普陀,107104330695,263,62043元/平米,1984年建/板楼,2室1厅1厨1卫,高楼层 (共6层),42.39㎡,平层,暂无数据,板楼,南,砖混结构,精装,一梯四户,无,2021-08-15,商品房,2016-05-31,普通住宅,满五年,非共有,无抵押,已上传房本照片,"码
202101227965





查询房管备案记录",,,
金碧汇虹苑,奉贤,107104043613,300,24079元/平米,2007年建/板楼,3室2厅1厨2卫,中楼层 (共6层),124.59㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,一梯两户,无,2021-06-02,动迁安置房,2021-05-27,普通住宅,未满两年,非共有,无抵押,已上传房本照片,"码
202100932475





查询房管备案记录",,,
文怡花园,奉贤,107104133181,270,25393元/平米,2004年建/板楼,3室2厅1厨2卫,高楼层 (共6层),106.33㎡,平层,暂无数据,板楼,南,砖混结构,毛坯,一梯两户,无,2021-06-23,商品房,2005-01-29,普通住宅,满五年,非共有,无抵押,已上传房本照片,"码
202101015703





查询房管备案记录",,,
新南家园,奉贤,107104250845,319,30101元/平米,2006年建/板楼,6室2厅1厨2卫,高楼层 (共6层),105.98㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,无,2021-07-24,商品房,2010-05-22,普通住宅,满五年,非共有,无抵押,已上传房本照片,"码
202101137108





查询房管备案记录",,,
新雅路185号,浦东,107104379861,170,34110元/平米,1986年建/板楼,1室1厅1厨1卫,低楼层 (共6层),49.84㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯六户,无,2021-08-28,商品房,2017-05-25,普通住宅,未满两年,共有,无抵押,已上传房本照片,"码
202101291190





查询房管备案记录",,,
天和尚上海,奉贤,107104351906,235,26705元/平米,未知年建/板楼,3室1厅1厨1卫,中楼层 (共17层),88㎡,平层,69.66㎡,板楼,南 北,钢混结构,毛坯,一梯四户,暂无数据,2021-08-20,商品房,2020-04-23,普通住宅,未满两年,共有,有抵押 100万元 银行 客户偿还,已上传房本照片,"码
202101290431





查询房管备案记录",,,
鸿吉苑,奉贤,107104152515,265,21556元/平米,1998年建/板楼,3室2厅1厨2卫,高楼层 (共6层),122.94㎡,平层,暂无数据,板楼,南,钢混结构,简装,一梯两户,无,2021-06-28,商品房,2012-05-27,普通住宅,满五年,非共有,无抵押,已上传房本照片,"码
202101072324





查询房管备案记录",,,
金利公寓,浦东,107104275486,608,48163元/平米,2008年建/板楼,3室2厅1厨2卫,中楼层 (共6层),126.24㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,无,2021-08-01,商品房,2013-03-08,普通住宅,满五年,共有,无抵押,已上传房本照片,"码
202101205760





查询房管备案记录",,,
