0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1室1厅1厨1卫        ,中楼层(共6层)          ,40.56㎡          ,平层              ,暂无数据         ,板楼       ,南   ,1985 ,精装     ,砖混结构  , ,一梯四户           ,无           ,107103510713          ,商品房          ,2021-01-16         ,普通住宅          ,暂无数据       ,共有           ,369挂牌价格（万）,132成交周期（天）,7调价（次）,带看（次）,69关注（人）,10479浏览（次）,365万,89991,2021.05.27 成交,洛川中路1100弄 1室1厅 40.56平米
3室1厅1厨1卫        ,高楼层(共6层)          ,92.86㎡          ,平层              ,暂无数据         ,板楼       ,南   ,2005 ,精装     ,钢混结构  , ,一梯两户           ,无           ,107103800821          ,商品房          ,2021-04-02         ,普通住宅          ,暂无数据       ,非共有           ,510挂牌价格（万）,56成交周期（天）,1调价（次）,带看（次）,15关注（人）,3333浏览（次）,495万,53307,2021.05.27 成交,瑞丰园 3室1厅 92.86平米
2室2厅1厨2卫        ,低楼层(共12层)          ,110.96㎡          ,错层              ,暂无数据         ,板楼       ,南 北   ,2003 ,精装     ,钢混结构  , ,一梯两户           ,有           ,107103941314          ,商品房          ,2021-05-06         ,普通住宅          ,暂无数据       ,非共有           ,1265挂牌价格（万）,22成交周期（天）,0调价（次）,带看（次）,76关注（人）,10372浏览（次）,1245万,112203,2021.05.27 成交,盛大花园 2室2厅 110.96平米
1室1厅1厨1卫        ,高楼层(共6层)          ,33.72㎡          ,平层              ,暂无数据         ,板楼       ,南   ,1995 ,精装     ,砖混结构  , ,一梯四户           ,无           ,107103927012          ,商品房          ,2021-05-02         ,普通住宅          ,暂无数据       ,非共有           ,215挂牌价格（万）,26成交周期（天）,3调价（次）,带看（次）,41关注（人）,3860浏览（次）,205万,60795,2021.05.27 成交,景峰苑 1室1厅 33.72平米
3室1厅1厨2卫        ,低楼层(共24层)          ,139.23㎡          ,平层              ,暂无数据         ,塔楼       ,南   ,1996 ,精装     ,钢混结构  , ,三梯六户           ,有           ,107103834589          ,商品房          ,2021-04-11         ,普通住宅          ,暂无数据       ,非共有           ,1010挂牌价格（万）,47成交周期（天）,2调价（次）,带看（次）,23关注（人）,7038浏览（次）,995万,71465,2021.05.27 成交,金桂苑(徐汇) 3室1厅 139.23平米
1室0厅1厨1卫        ,中楼层(共7层)          ,34.37㎡          ,平层              ,暂无数据         ,板楼       ,西   ,1988 ,精装     ,钢混结构  , ,一梯四户           ,无           ,107103998419          ,商品房          ,2021-05-21         ,普通住宅          ,暂无数据       ,非共有           ,380挂牌价格（万）,7成交周期（天）,0调价（次）,带看（次）,7关注（人）,687浏览（次）,370万,107653,2021.05.27 成交,瞿四小区 1室0厅 34.37平米
2室1厅0厨1卫        ,高楼层(共11层)          ,60.71㎡          ,平层              ,暂无数据         ,板楼       ,南   ,2007 ,精装     ,钢混结构  , ,一梯三户           ,有           ,107103922682          ,动迁安置房          ,2021-05-01         ,普通住宅          ,暂无数据       ,共有           ,265挂牌价格（万）,27成交周期（天）,1调价（次）,带看（次）,57关注（人）,4791浏览（次）,258万,42498,2021.05.27 成交,闵浦新苑六村 2室1厅 60.71平米
2室1厅1厨1卫        ,中楼层(共7层)          ,65.05㎡          ,平层              ,暂无数据         ,板楼       ,南   ,1995 ,简装     ,钢混结构  , ,一梯三户           ,无           ,107104009788          ,商品房          ,2021-05-23         ,普通住宅          ,暂无数据       ,共有           ,400挂牌价格（万）,5成交周期（天）,0调价（次）,带看（次）,5关注（人）,280浏览（次）,397万,61030,2021.05.27 成交,华松西区（仙霞西路700弄） 2室1厅 65.05平米
3室2厅1厨2卫        ,中楼层(共14层)          ,138㎡          ,平层              ,暂无数据         ,板塔结合       ,西南   ,1999 ,简装     ,钢混结构  , ,两梯六户           ,有           ,107103951682          ,商品房          ,2021-05-08         ,普通住宅          ,暂无数据       ,非共有           ,1200挂牌价格（万）,20成交周期（天）,0调价（次）,带看（次）,22关注（人）,2982浏览（次）,1180万,85508,2021.05.27 成交,名都城(公寓) 3室2厅 138平米
3室2厅0厨2卫        ,中楼层(共5层)          ,124.87㎡          ,平层              ,暂无数据         ,板楼       ,南 北   ,2005 ,精装     ,钢混结构  , ,一梯两户           ,无           ,107103932827          ,商品房          ,2021-05-04         ,普通住宅          ,暂无数据       ,共有           ,475挂牌价格（万）,24成交周期（天）,3调价（次）,带看（次）,22关注（人）,3736浏览（次）,470万,37640,2021.05.27 成交,青水湾公寓 3室2厅 124.87平米
3室1厅1厨2卫        ,中楼层(共16层)          ,133.6㎡          ,平层              ,暂无数据         ,板楼       ,南   ,2005 ,简装     ,钢混结构  , ,两梯三户           ,有           ,107103477971          ,商品房          ,2021-01-08         ,普通住宅          ,暂无数据       ,共有           ,340挂牌价格（万）,140成交周期（天）,1调价（次）,带看（次）,63关注（人）,13984浏览（次）,335万,25075,2021.05.27 成交,新南家园 3室1厅 133.6平米
2室1厅1厨1卫        ,低楼层(共25层)          ,74㎡          ,平层              ,暂无数据         ,塔楼       ,南   ,1992 ,简装     ,混合结构  , ,一梯八户           ,暂无数据           ,107103396974          ,商品房          ,2020-12-14         ,普通住宅          ,暂无数据       ,共有           ,109挂牌价格（万）,165成交周期（天）,0调价（次）,带看（次）,3关注（人）,3467浏览（次）,103万,13919,2021.05.27 成交,临波大楼 2室1厅 74平米
2室1厅1厨1卫        ,中楼层(共11层)          ,68.25㎡          ,平层              ,暂无数据         ,板楼       ,南   ,2012 ,精装     ,钢混结构  , ,一梯四户           ,有           ,107103642020          ,商品房          ,2021-03-01         ,普通住宅          ,暂无数据       ,共有           ,253挂牌价格（万）,88成交周期（天）,4调价（次）,带看（次）,132关注（人）,15807浏览（次）,246万,36044,2021.05.27 成交,茉莉雅苑 2室1厅 68.25平米
1室1厅1厨1卫        ,高楼层(共5层)          ,37.36㎡          ,平层              ,暂无数据         ,板楼       ,南   ,1992 ,精装     ,砖混结构  , ,一梯六户           ,无           ,107104010761          ,商品房          ,2021-05-24         ,普通住宅          ,暂无数据       ,共有           ,152挂牌价格（万）,4成交周期（天）,0调价（次）,带看（次）,4关注（人）,572浏览（次）,150万,40150,2021.05.27 成交,城东新村（二区） 1室1厅 37.36平米
2室2厅1厨1卫        ,中楼层(共18层)          ,73.46㎡          ,平层              ,暂无数据         ,板楼       ,南   ,2014 ,毛坯     ,钢混结构  , ,两梯四户           ,有           ,107103069684          ,商品房          ,2020-09-16         ,普通住宅          ,暂无数据       ,非共有           ,273挂牌价格（万）,254成交周期（天）,12调价（次）,带看（次）,51关注（人）,7182浏览（次）,274万,37300,2021.05.27 成交,新凯城尚樱苑 2室2厅 73.46平米
2室1厅1厨1卫        ,中楼层(共6层)          ,66.66㎡          ,平层              ,暂无数据         ,板楼       ,南   ,1995 ,简装     ,砖混结构  , ,一梯两户           ,无           ,107103991348          ,商品房          ,2021-05-19         ,普通住宅          ,暂无数据       ,共有           ,475挂牌价格（万）,9成交周期（天）,0调价（次）,带看（次）,7关注（人）,581浏览（次）,468万,70208,2021.05.27 成交,龙柏五村 2室1厅 66.66平米
2室1厅1厨1卫        ,高楼层(共4层)          ,52.17㎡          ,平层              ,暂无数据         ,板楼       ,南 北   ,未知 ,其他     ,砖混结构  , ,一梯三户           ,无           ,107104018137          ,商品房          ,2021-05-26         ,普通住宅          ,暂无数据       ,共有           ,125挂牌价格（万）,2成交周期（天）,0调价（次）,带看（次）,0关注（人）,13浏览（次）,125万,23961,2021.05.27 成交,古华新村 2室1厅 52.17平米
2室1厅1厨1卫        ,低楼层(共6层)          ,51.12㎡          ,平层              ,暂无数据         ,板楼       ,南   ,1993 ,简装     ,砖混结构  , ,一梯三户           ,无           ,107102990997          ,商品房          ,2020-08-28         ,普通住宅          ,暂无数据       ,非共有           ,410挂牌价格（万）,272成交周期（天）,8调价（次）,带看（次）,82关注（人）,16983浏览（次）,406万,79421,2021.05.27 成交,翔殷路491弄 2室1厅 51.12平米
2室2厅1厨1卫        ,高楼层(共13层)          ,95㎡          ,暂无数据              ,暂无数据         ,板楼       ,南   ,2014 ,精装     ,钢混结构  , ,两梯两户           ,有           ,107103952213          ,商品房          ,2021-05-08         ,普通住宅          ,暂无数据       ,共有           ,950挂牌价格（万）,19成交周期（天）,0调价（次）,带看（次）,0关注（人）,2浏览（次）,900万,94737,2021.05.27 成交,一品漫城(五期) 2室2厅 95平米
1室1厅1厨1卫        ,中楼层(共7层)          ,62㎡          ,暂无数据              ,暂无数据         ,板楼       ,南   ,2013 ,其他     ,钢混结构  , ,三梯二十五户           ,有           ,107103530738          ,商品房          ,2021-01-22         ,商业办公类          ,暂无数据       ,非共有           ,117挂牌价格（万）,126成交周期（天）,2调价（次）,带看（次）,0关注（人）,36浏览（次）,113万,18226,2021.05.27 成交,万科早城(一期) 1室1厅 62平米
1室1厅1厨1卫        ,中楼层(共18层)          ,66.76㎡          ,平层              ,暂无数据         ,板塔结合       ,西北   ,未知 ,简装     ,钢混结构  , ,两梯八户           ,有           ,107102376583          ,商品房          ,2020-04-11         ,普通住宅          ,暂无数据       ,非共有           ,600挂牌价格（万）,412成交周期（天）,2调价（次）,带看（次）,26关注（人）,7105浏览（次）,580万,86879,2021.05.27 成交,正力公寓 1室1厅 66.76平米
3室2厅1厨1卫        ,中楼层(共16层)          ,93.07㎡          ,平层              ,暂无数据         ,板楼       ,南 北   ,2012 ,精装     ,钢混结构  , ,一梯两户           ,有           ,107103768784          ,商品房          ,2021-03-26         ,普通住宅          ,暂无数据       ,非共有           ,879挂牌价格（万）,63成交周期（天）,2调价（次）,带看（次）,46关注（人）,4700浏览（次）,866万,93049,2021.05.27 成交,恒盛鼎城圣都汇 3室2厅 93.07平米
3室1厅1厨1卫        ,高楼层(共6层)          ,72.21㎡          ,平层              ,暂无数据         ,板楼       ,南   ,1996 ,简装     ,砖混结构  , ,一梯四户           ,无           ,107103905708          ,商品房          ,2021-04-27         ,普通住宅          ,暂无数据       ,共有           ,435挂牌价格（万）,31成交周期（天）,0调价（次）,带看（次）,23关注（人）,2772浏览（次）,432万,59826,2021.05.27 成交,凌兆新村(凌兆路256弄) 3室1厅 72.21平米
