,City,HouseName,Lng,Lat,District,id,TotalPrice,Price,Floor,Square,FloorType,BuildingType,BuildingStructure,RenovationCondition,Elevator,ConstructionTime,BedRooms,LivingRooms,Kitchens,BathRooms
34,shanghai,天和尚上海,121.56117902716282,30.981615851603355,奉贤,107104351906,2350000.0,26705,Middle,88,Flat,Plate,Steel/Concrete,Rough,Unknown,NaN,3,1,1,1
35,shanghai,鸿吉苑,121.43590035260523,30.993341983807696,奉贤,107104152515,2650000.0,21556,High,122.94,Flat,Plate,Steel/Concrete,Simplicity,No,1998,3,2,1,2
36,shanghai,金利公寓,121.66895305106132,31.209855506125592,浦东,107104275486,6080000.0,48163,Middle,126.24,Flat,Plate,Steel/Concrete,Hardcover,No,2008,3,2,1,2
37,shanghai,绿地春申花园,121.41328811647753,31.116378226840663,闵行,107104399790,14980000.0,77916,High,192.26,Duplex,Plate,Steel/Concrete,Hardcover,Yes,2004,4,3,2,2
38,shanghai,沿港河畔家园,121.51887638340915,30.968059589247524,奉贤,107104246725,1950000.0,27465,Low,71,Flat,Plate,Steel/Concrete,Rough,Unknown,NaN,2,1,1,1
39,shanghai,莱阳北小区,121.58940836764444,31.28270655165685,浦东,107104270492,2530000.0,56123,High,45.08,Flat,Plate,Brick/Concrete,Simplicity,No,1990,1,1,0,1
40,shanghai,汇龙花苑(闵行),121.53771196351181,31.029818511305542,闵行,107104230431,3630000.0,34503,High,105.21,Flat,Plate,Steel/Concrete,Hardcover,No,2002,2,1,1,2
41,shanghai,辰凯花苑,121.34733174118786,30.732110291814557,金山,107103884329,1880000.0,18614,Low,101,Flat,Plate,Brick/Concrete,Simplicity,No,1998,3,2,1,1
42,shanghai,华沙一村,121.70109675780266,31.196870881960862,浦东,107104230029,3390000.0,44653,Middle,75.92,Flat,Plate,Brick/Concrete,Simplicity,No,1994,2,1,1,1
43,shanghai,浦江瑞和城,121.52299403620579,31.032619862752913,闵行,107103931198,3650000.0,37264,Low,97.95,Flat,Plate,Steel/Concrete,Rough,Unknown,2013,3,2,1,1
44,shanghai,金都花好悦园,121.40585086549932,31.09761804117794,闵行,107104353376,9600000.0,50162,High,191.38,Duplex,Plate,Brick/Concrete,Hardcover,No,1999,4,2,1,3
45,shanghai,辽源四村,121.5171717588734,31.278019638866038,杨浦,107103525373,4350000.0,75548,High,57.58,Flat,Plate,Brick/Concrete,Hardcover,No,1985,2,0,1,1
46,shanghai,好世凤凰城,121.39798458380953,31.099021816416947,闵行,107104400122,7300000.0,76544,Middle,95.37,Flat,Plate,Steel/Concrete,Simplicity,No,2004,2,1,1,1
47,shanghai,星辰园(公寓),121.23563805102712,31.056637346200752,松江,107104343238,6300000.0,49277,Low,127.85,Flat,Plate,Steel/Concrete,Hardcover,Yes,2005,3,2,1,2
48,shanghai,番禺大厦,121.43387889571613,31.212336784885853,长宁,107104352902,8500000.0,52007,Low,163.44,Flat,Tower,Steel/Concrete,Rough,Yes,1999,3,2,1,2
49,shanghai,水塘小区,121.40610481646699,31.255266557953828,普陀,107104385249,4380000.0,62932,High,69.6,Flat,Plate,Steel/Concrete,Hardcover,Yes,1988,2,1,1,1
50,shanghai,阳光翠庭,121.22121773233656,31.044093457161477,松江,107104292999,4750000.0,36285,Low,130.91,Flat,Plate,Steel/Concrete,Simplicity,Yes,2005,3,2,1,2
51,shanghai,潍坊九村,121.53142876562228,31.22873306720825,浦东,107104379173,4350000.0,117536,High,37.01,Flat,Plate,Brick/Concrete,Hardcover,No,1986,1,1,1,1
52,shanghai,伟业金锦苑二村,121.59210400281879,31.288212777614163,浦东,107104383293,5880000.0,74943,Low,78.46,Flat,Plate,Steel/Concrete,Hardcover,No,2003,2,2,1,1
53,shanghai,航华一村,121.35806200050455,31.180690381526052,闵行,107104379073,4280000.0,52561,Middle,81.43,Flat,Tower,Steel/Concrete,Hardcover,Yes,1993,2,1,1,1
54,shanghai,绿地时代名邸,121.14853601318534,31.28246760943393,青浦,107104385930,2050000.0,24795,High,82.68,Flat,Plate,Steel/Concrete,Simplicity,Yes,2015,2,2,1,1
55,shanghai,凯德新视界(一期),121.81619403771016,30.967591867678497,浦东,107104383211,1980000.0,24778,Middle,79.91,Flat,Plate,Steel/Concrete,Rough,Yes,2015,2,1,1,1
56,shanghai,菊泉新城(陆翔路698弄),121.37336652130858,31.359807552501792,宝山,107104385721,3500000.0,40855,Low,85.67,Flat,Plate,Steel/Concrete,Simplicity,Yes,2005,2,1,1,1
57,shanghai,浦罡小区,121.54266243534676,31.278492530311503,杨浦,107104365878,2500000.0,70225,High,35.6,Flat,Plate,Brick/Concrete,Simplicity,No,1993,1,1,1,1
58,shanghai,平阳绿家园,121.39771904470079,31.13607285213692,闵行,107104367897,7780000.0,79114,Middle,98.34,Flat,Plate,Steel/Concrete,Hardcover,No,2000,3,2,1,1
59,shanghai,莲花公寓(闵行),121.4060016011639,31.14723837920204,闵行,107104374016,8750000.0,66444,High,131.69,Duplex,Plate,Brick/Concrete,Hardcover,No,1998,4,2,1,2
60,shanghai,曹杨五村(南杨园),121.41247299405778,31.238847832358434,普陀,107104386755,2850000.0,69158,High,41.21,Flat,Plate,Brick/Concrete,Hardcover,No,1984,1,1,1,1
61,shanghai,乾溪三村,121.41355796745272,31.31502886219595,宝山,107104389359,4400000.0,45291,Middle,97.15,Flat,Plate,Brick/Concrete,Simplicity,No,1998,3,1,1,1
62,shanghai,银山小区,121.58705804110814,31.24963590522477,浦东,107104384231,4650000.0,61541,High,75.56,Flat,Plate,Brick/Concrete,Hardcover,No,1997,2,1,1,1
63,shanghai,田图苑,121.35751735787385,31.18794797223369,闵行,107104388254,4800000.0,52673,Middle,91.13,Flat,Plate,Brick/Concrete,Simplicity,No,2000,2,2,1,1
64,shanghai,春港丽园(公寓),121.49318816955416,31.21552530450617,浦东,107104327050,6500000.0,52390,Middle,124.07,Flat,Plate,Steel/Concrete,Hardcover,No,2003,3,2,1,2
65,shanghai,明园森林都市,121.46043298625219,31.295146904529243,静安,107104325628,11300000.0,93273,Middle,121.15,Flat,Tower,Steel/Concrete,Hardcover,Yes,NaN,3,2,1,2
66,shanghai,金地格林郡,121.10939477601292,31.13937902253949,青浦,107104335947,6100000.0,36368,High,167.73,Duplex,Plate,Steel/Concrete,Hardcover,No,2008,6,2,1,2
67,shanghai,唐丰苑,121.65898006328956,31.205784139308655,浦东,107103671207,3200000.0,55373,Middle,57.79,Flat,Plate,Steel/Concrete,Simplicity,Yes,2014,1,1,1,1
68,shanghai,复地新都国际,121.48224869488422,31.259779973070767,静安,107104352927,9500000.0,120178,High,79.05,Flat,Plate,Steel/Concrete,Hardcover,Yes,2011,1,2,1,1
69,shanghai,洛川路14号,121.4514763413344,31.269419216853457,普陀,107104248085,1950000.0,56703,High,34.39,Flat,Plate,Steel/Concrete,Simplicity,No,1987,1,1,1,1
70,shanghai,凯成苑,121.4688790343181,31.254499894726635,静安,107104367021,8500000.0,68312,Low,124.43,Flat,Plate,Steel/Concrete,Rough,Yes,2000,3,2,1,2
71,shanghai,东安二村,121.4599946131633,31.19284474626915,徐汇,107104373234,6650000.0,84941,Low,78.29,Flat,Plate,Brick/Concrete,Simplicity,No,1958,2,2,1,1
72,shanghai,中国铁建香榭国际,121.44577201151549,30.993328827368927,奉贤,107103985898,5190000.0,42103,Middle,123.27,Flat,Other,Unknown,Hardcover,Yes,2018,4,2,1,2
73,shanghai,中国铁建香榭国际,121.44577201151549,30.993328827368927,奉贤,107103892626,4300000.0,25734,Low,167.1,Flat,Plate,Mixed,Hardcover,Yes,2018,3,1,1,1
74,shanghai,中国铁建香榭国际,121.44577201151549,30.993328827368927,奉贤,107104145563,3080000.0,24052,Low,128.06,Duplex,Tower,Steel/Concrete,Hardcover,Yes,NaN,2,2,1,1
75,shanghai,晨光公寓,121.67999547154272,31.201674835129737,浦东,107104226024,3690000.0,39206,High,94.12,Flat,Plate,Mixed,Hardcover,No,1995,3,1,1,1
76,shanghai,银丰苑,121.69426101219393,31.273335885907766,浦东,107104316587,3670000.0,43427,Low,84.51,Flat,Plate,Steel/Concrete,Hardcover,No,2007,2,1,1,1
77,shanghai,虬江路843号,121.48263191201475,31.25834248589445,静安,107104340755,3260000.0,77583,Low,42.02,Flat,Plate,Brick/Concrete,Hardcover,No,1984,1,1,1,1
78,shanghai,万科城市花园,121.34955801173324,31.164744863759513,闵行,107104327015,6950000.0,66648,High,104.28,Flat,Plate,Steel/Concrete,Simplicity,No,1995,3,2,1,2
79,shanghai,枫泽苑,121.4274077723139,31.037191877590146,闵行,107104335559,4060000.0,44719,Low,90.79,Flat,Plate,Steel/Concrete,Simplicity,Yes,2008,2,2,1,1
80,shanghai,紫东新苑,121.21491234630092,31.047409281325514,松江,107104345924,5250000.0,34319,Low,152.98,Flat,Plate,Steel/Concrete,Hardcover,Yes,2005,3,2,1,2
81,shanghai,临潮二村,121.35692106267634,30.723768187494915,金山,107104347301,699000.0,12463,High,56.09,Flat,Plate,Brick/Concrete,Hardcover,No,1991,2,1,1,1
82,shanghai,鑫隆公寓,121.1719320208705,31.319757876149556,杨浦,107104342788,6060000.0,72411,Middle,83.69,Flat,Plate,Steel/Concrete,Simplicity,No,1996,2,2,1,1
83,shanghai,南苑十村,121.25518041790504,31.371773220186217,嘉定,107104348776,2350000.0,28782,Middle,81.65,Flat,Plate,Brick/Concrete,Hardcover,No,1999,2,2,1,1
84,shanghai,鹤明小区,121.42261549207929,31.013614574468466,闵行,107104395058,1620000.0,41980,Middle,38.59,Flat,Plate,Brick/Concrete,Hardcover,No,1985,1,1,1,1
85,shanghai,艺泰安邦,121.71488251348099,31.06706684689662,浦东,107104370037,2500000.0,26591,Low,94.02,Flat,Plate,Steel/Concrete,Hardcover,Yes,2009,2,2,1,1
