,City,HouseName,Lng,Lat,tradeTime,DOM,followers,totalPrice,price,square,bedRoom,livingRoom,kitchen,bathRoom,floor,buildingType,constructionTime,renovationCondition,buildingStructure,elevator,subway,district
27,Shanghai,城东新村（二区）,121.13059846910099,31.150502203332227,2021,4,4,1500000.0,40150.0,37.36,1.0,1,1,1,High,Plate       ,1992 ,Hardcover     ,Brick/Concrete  ,No           ,Unknown,Unknown
28,Shanghai,新凯城尚樱苑,121.2490423861859,31.12087754536027,2021,254,51,2740000.0,37300.0,73.46,2.0,2,1,1,Middle,Plate       ,2014 ,Rough     ,Steel/Concrete  ,Yes           ,Unknown,Unknown
29,Shanghai,龙柏五村,121.37541483753245,31.18177230939203,2021,9,7,4680000.0,70208.0,66.66,2.0,1,1,1,Middle,Plate       ,1995 ,Simplicity     ,Brick/Concrete  ,No           ,Unknown,Unknown
30,Shanghai,古华新村,121.47338331780624,30.921941969406564,2021,2,0,1250000.0,23961.0,52.17,2.0,1,1,1,High,Plate       ,NaN ,Other     ,Brick/Concrete  ,No           ,Unknown,Unknown
31,Shanghai,翔殷路491弄,121.54318372203419,31.312227373057752,2021,272,82,4060000.0,79421.0,51.12,2.0,1,1,1,Low,Plate       ,1993 ,Simplicity     ,Brick/Concrete  ,No           ,Unknown,Unknown
32,Shanghai,一品漫城(五期),121.49752824279508,31.121817107885146,2021,19,0,9000000.0,94737.0,95.0,2.0,2,1,1,High,Plate       ,2014 ,Hardcover     ,Steel/Concrete  ,Yes           ,Unknown,Unknown
33,Shanghai,万科早城(一期),121.49255396586412,31.110065833478828,2021,126,0,1130000.0,18226.0,62.0,1.0,1,1,1,Middle,Plate       ,2013 ,Other     ,Steel/Concrete  ,Yes           ,Unknown,Unknown
34,Shanghai,正力公寓,121.43887077943508,31.210203889784854,2021,412,26,5800000.0,86879.0,66.76,1.0,1,1,1,Middle,Plate & Tower       ,NaN ,Simplicity     ,Steel/Concrete  ,Yes           ,Unknown,Unknown
35,Shanghai,恒盛鼎城圣都汇,121.39407785314665,31.283983420139585,2021,63,46,8660000.0,93049.0,93.07,3.0,2,1,1,Middle,Plate       ,2012 ,Hardcover     ,Steel/Concrete  ,Yes           ,Unknown,Unknown
36,Shanghai,凌兆新村(凌兆路256弄),121.50353215750157,31.1456496547643,2021,31,23,4320000.0,59826.0,72.21,3.0,1,1,1,High,Plate       ,1996 ,Simplicity     ,Brick/Concrete  ,No           ,Unknown,Unknown
37,Shanghai,古北新城,121.40933988410006,31.188370038110765,2021,12,14,5570000.0,80678.0,69.04,2.0,2,1,1,High,Plate       ,1996 ,Hardcover     ,Brick/Concrete  ,No           ,Unknown,Unknown
38,Shanghai,御景龙庭,121.33068101974656,30.738287841880826,2021,323,8,1720000.0,18776.0,91.5,2.0,2,1,1,High,Plate       ,2011 ,Rough     ,Steel/Concrete  ,Yes           ,Unknown,Unknown
39,Shanghai,海棠新村,121.35459103784454,30.725997145356192,2021,41,0,840000.0,13613.0,61.71,2.0,1,1,1,Middle,Plate       ,1988 ,Rough     ,Brick/Concrete  ,No           ,Unknown,Unknown
40,Shanghai,红旗五村,121.40886611777411,31.01773086914705,2021,26,24,1440000.0,33622.0,42.83,1.0,1,1,1,High,Plate       ,1987 ,Simplicity     ,Brick/Concrete  ,No           ,Unknown,Unknown
41,Shanghai,愚园路488弄,121.44593927600145,31.228570798418172,2021,133,366,6200000.0,114118.0,54.33,2.0,1,1,1,Middle,Plate       ,1983 ,Hardcover     ,Brick/Concrete  ,No           ,Unknown,Unknown
42,Shanghai,贝港北区（二区）,121.45281903858016,30.922166881791988,2021,88,11,1800000.0,20259.0,88.85,3.0,2,1,1,High,Plate       ,1994 ,Simplicity     ,Brick/Concrete  ,No           ,Unknown,Unknown
43,Shanghai,绿地世纪城(二期),121.4266513990745,31.240169528868208,2021,54,118,12300000.0,109130.0,112.71,3.0,2,1,1,High,Plate       ,2003 ,Hardcover     ,Steel/Concrete  ,Yes           ,Unknown,Unknown
44,Shanghai,城南居委小区,121.71285782269204,31.198189387382293,2021,6,0,2470000.0,44018.0,56.0,2.0,1,1,1,Middle,Plate       ,1989 ,Simplicity     ,Brick/Concrete  ,No           ,Unknown,Unknown
45,Shanghai,江桥万达广场(嘉定),121.35217477568379,31.26535854435243,2021,1768,0,1190000.0,21609.0,55.07,1.0,1,1,1,High,Tower       ,2011 ,Other     ,Steel/Concrete  ,Yes           ,Unknown,Unknown
46,Shanghai,蓝色城邦(公寓),121.81755191631905,30.907849105607053,2021,19,10,1390000.0,26055.0,53.35,1.0,1,1,1,Middle,Plate       ,2010 ,Rough     ,Steel/Concrete  ,Yes           ,Unknown,Unknown
47,Shanghai,绿地香颂(奉贤)(公寓),121.54010028837119,31.13698861720319,2021,46,11,930000.0,19375.0,48.0,1.0,1,1,1,Low,Plate       ,2011 ,Rough     ,Steel/Concrete  ,Yes           ,Unknown,Unknown
48,Shanghai,万兆家园(一期),121.35769899524797,31.154623871758893,2021,6,6,5180000.0,75291.0,68.8,2.0,1,1,1,Middle,Plate       ,2000 ,Hardcover     ,Brick/Concrete  ,No           ,Unknown,Unknown
49,Shanghai,金阳小区,121.43009343629708,31.2288326516261,2021,78,86,3440000.0,76932.0,44.65,1.0,1,1,1,High,Plate       ,1987 ,Hardcover     ,Steel/Concrete  ,No           ,Unknown,Unknown
50,Shanghai,德州五村,121.50200952966215,31.172721823727052,2021,40,15,5190000.0,72285.0,71.8,2.0,2,1,1,Middle,Plate       ,1996 ,Hardcover     ,Brick/Concrete  ,No           ,Unknown,Unknown
51,Shanghai,新城尚上城,121.18544127811286,31.290933367540276,2021,2,0,3660000.0,39783.0,92.0,2.0,2,1,1,Middle,Plate       ,2013 ,Other     ,Steel/Concrete  ,Yes           ,Unknown,Unknown
