,City,HouseName,Lng,Lat,District,id,TotalPrice,Price,Floor,Square,FloorType,BuildingType,BuildingStructure,RenovationCondition,Elevator,ConstructionTime,BedRooms,LivingRooms,Kitchens,BathRooms
224,guangzhou,前进路(海珠),113.32465181370303,23.083309904250434,海珠,108402556523,3760000.0,36477,High,103.08,Flat,Tower,Steel/Concrete,Hardcover,Yes,NaN,3,1,1,1
225,guangzhou,昌岗东路,113.28643699901566,23.098735472142927,海珠,108402570125,2000000.0,27809,Low,71.92,Flat,Tower,Steel/Concrete,Simplicity,No,NaN,3,2,1,1
226,guangzhou,金港花园（金堂楼/金满楼),113.45287989469915,23.103124771169888,黄埔,108402570311,4100000.0,40201,Middle,101.99,Flat,Tower,Steel/Concrete,Hardcover,Yes,2000,3,2,1,1
227,guangzhou,鸿富大厦,113.28132959320983,23.106899650072464,海珠,108402570902,4220000.0,52067,Low,81.05,Flat,Tower,Steel/Concrete,Simplicity,Yes,2003,3,2,1,1
228,guangzhou,逸泉映翠,113.62267957841122,23.579973365072256,从化,108402583751,1100000.0,11231,Middle,97.95,Flat,Tower,Steel/Concrete,Rough,Yes,2015,3,2,1,1
229,guangzhou,新都盛世名门宏城汇,113.60523807863524,23.12907748167652,增城,108402600577,1070000.0,22883,High,46.76,Flat,Tower,Steel/Concrete,Hardcover,Yes,2012,1,1,1,1
230,guangzhou,翡翠绿洲湖翠苑,113.56167160887398,23.14070298622713,增城,108402597174,2430000.0,23639,High,102.8,Flat,Tower,Steel/Concrete,Hardcover,Yes,2011,3,2,1,1
231,guangzhou,金泽豪庭,113.59613357263352,23.129913825556006,增城,108402579309,2250000.0,25589,Middle,87.93,Flat,Tower,Steel/Concrete,Hardcover,Yes,2016,3,2,1,1
232,guangzhou,花园路(从化),113.35437261081302,23.14080841343251,从化,108402605518,1160000.0,9542,Low,121.58,Flat,Other,Steel/Concrete,Hardcover,Unknown,NaN,4,2,1,1
233,guangzhou,力诚凯怡湾,113.61352144357058,23.12074283484836,增城,108402596256,1280000.0,19824,High,64.57,Flat,Plate,Steel/Concrete,Hardcover,Yes,2013,2,1,1,1
234,guangzhou,俊怡御景花园,113.21634275907854,23.424138286990544,花都,108402586531,1880000.0,15667,High,120,Flat,Tower,Steel/Concrete,Hardcover,Yes,2011,3,2,1,2
235,guangzhou,翡翠绿洲湖滨苑,113.55990455210589,23.141355653221357,增城,108402580724,2150000.0,21711,Middle,99.03,Flat,Tower,Steel/Concrete,Hardcover,Yes,2011,3,1,1,1
236,guangzhou,翡翠绿洲克拉邻里,113.38652889382088,23.135901431706976,增城,108402585307,1600000.0,19815,High,80.75,Flat,Tower,Steel/Concrete,Hardcover,Yes,2016,2,1,1,1
237,guangzhou,翡翠绿洲湖翠苑,113.56167160887398,23.14070298622713,增城,108402573766,2100000.0,22185,High,94.66,Flat,Tower,Steel/Concrete,Hardcover,Yes,2011,2,2,1,1
238,guangzhou,金泽豪庭,113.59613357263352,23.129913825556006,增城,108402600444,2100000.0,23538,High,89.22,Flat,Tower,Steel/Concrete,Hardcover,Yes,2007,3,2,1,1
239,guangzhou,顺欣花园,113.62383381116061,23.152484559707073,增城,108402594548,1880000.0,18836,High,99.81,Flat,Tower,Steel/Concrete,Hardcover,Yes,NaN,3,2,1,1
240,guangzhou,景业荔都,113.64890569759692,23.611865299660366,从化,108402588657,1346000.0,9641,Low,139.62,Flat,Tower,Steel/Concrete,Rough,Yes,NaN,4,2,1,2
241,guangzhou,敏捷锦绣天伦,113.64535173150897,23.131672573223334,增城,108402596692,1978000.0,21903,Low,90.31,Flat,Tower,Steel/Concrete,Simplicity,Yes,2015,3,1,1,1
242,guangzhou,富贵楼,113.23218015470587,23.47441785180992,花都,108402523042,980000.0,10301,Middle,95.14,Flat,Tower,Steel/Concrete,Simplicity,No,NaN,3,2,1,1
243,guangzhou,祈福新村海晴居,113.32813472382514,22.96631981285762,番禺,108402528616,2490000.0,30109,Middle,82.7,Flat,Plate,Steel/Concrete,Hardcover,No,2003,3,2,1,1
244,guangzhou,海鹰路,113.2870724603332,23.086905989232037,海珠,108402534633,1580000.0,29298,High,53.93,Flat,Tower,Steel/Concrete,Simplicity,No,NaN,2,1,1,1
245,guangzhou,合一国际,113.33464995402578,23.197533190670285,白云,108402535579,2800000.0,53283,High,52.55,Duplex,Tower,Steel/Concrete,Hardcover,Yes,2006,2,1,1,2
246,guangzhou,海珠中路,113.26310171679067,23.127237523193816,越秀,108402521740,2330000.0,34402,Middle,67.73,Flat,Tower,Steel/Concrete,Simplicity,No,1995,3,1,1,1
247,guangzhou,保利公园九里,113.2181850040178,23.085654971283272,荔湾,108402521917,4690000.0,41351,Middle,113.42,Flat,Tower,Steel/Concrete,Hardcover,Yes,2014,3,1,1,2
248,guangzhou,同福西路,113.25907209793534,23.108564302248986,海珠,108402549536,1680000.0,35692,Middle,47.07,Flat,Other,Steel/Concrete,Hardcover,No,NaN,3,1,1,1
249,guangzhou,倚绿山庄,113.3292300277331,23.205760037820585,白云,108402548916,2270000.0,29466,Middle,77.04,Flat,Tower,Steel/Concrete,Hardcover,No,2000,2,2,1,1
